,precision,recall,f1-score,support
center,0.4046961325966851,0.6821885913853318,0.5080190723883832,859.0
donut,0.6739130434782609,0.5585585585585585,0.6108374384236454,111.0
edge-loc,0.1542736173590897,0.5616570327552987,0.2420593730537679,1038.0
edge-ring,0.9084934277047523,0.9282024793388429,0.9182422074603985,1936.0
loc,0.18291905672402806,0.3997214484679666,0.2509838216003498,718.0
near-full,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
none,0.9737386598758555,0.8299531981279251,0.8961148339375298,29486.0
random,0.6695278969957081,0.9017341040462428,0.7684729064039408,173.0
scratch,0.1787878787878788,0.24686192468619247,0.20738137082601055,239.0
accuracy,0.8103498120844175,0.8103498120844175,0.8103498120844175,0.8103498120844175
macro avg,0.5679852172112855,0.6713567411888548,0.5945848407185452,34590.0
weighted avg,0.9069654747285644,0.8103498120844175,0.8484301473205356,34590.0
